increases^abundance	Succinic Acid	BCL2	0.73071243563422	
increases^abundance	agathisflavone	BCL2 	0.7303145446231	
increases^abundance	C646 compound	BCL2	0.7303250025749124	
increases^glucuronidation	Calcium, RELA	0.7301309630628967
increases^response to substance	rimcazole	RELA	0.7310582399368286
increases^response to substance	Buthionine Sulfoximine	S100A9	0.7310486435890198
increases^response to substance	gemcitabine	EGFR	0.7310441732406616
increases^response to substance	Antigens	IL1B	0.7310323715209961
increases^response to substance	Galactosamine	LEP	0.7310316562652588
increases^response to substance	ochratoxin A	IL1B	0.7310300469398499
increases^response to substance	Bleomycin	MYC	0.731023371219635
increases^response to substance	Cadmium Chloride	SLC2A1	0.7310131192207336
increases^response to substance	Diethylhexyl Phthalate	IL1B	0.7310091853141785
increases^response to substance	N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride	NOS2	0.7310076355934143
increases^response to substance	Celecoxib	PTGS2	0.7310044169425964
increases^response to substance	pimagedine	NOS2	0.7310039401054382
decreases^secretion	Enzyme Inhibitors	IL1B	0.7309937477111816
increases^response to substance	Sirolimus	MTOR	0.7309909462928772
increases^response to substance	Thalidomide	ICAM1	0.7309877872467041
decreases^secretion	Budesonide	IL1B	0.7309831976890564
increases^response to substance	SB 203580	PARP1	0.7309781908988953
increases^response to substance	Cisplatin	TYMS	0.7309619188308716
increases^response to substance	deguelin	CASP8	0.7309490442276001
increases^response to substance	Methotrexate	TP53	0.7309425473213196
increases^response to substance	Asbestos, Crocidolite	SPARC	0.7309423089027405
increases^response to substance	pirinixic acid	IL1B	0.7309243083000183
increases^response to substance	aroclor 1242	IL1B	0.7309043407440186
increases^response to substance	Sorafenib	STAT3	0.7308723330497742
increases^response to substance	Potassium Cyanide	BCL2	0.7308707237243652
increases^response to substance	Arsenic Trioxide	CDKN1A	0.7308616042137146
increases^glucuronidation	Asbestos	BAX	0.7308584451675415
increases^response to substance	Dinoprostone	NOS2	0.7308424115180969
increases^response to substance	Estradiol	ERBB2	0.7308154106140137
increases^response to substance	Blood Glucose	IL1B	0.7307995557785034
increases^glucuronidation	Asbestos	PARP1	0.7307829856872559
increases^response to substance	Dietary Fats	IL1B	0.7307733297348022
increases^response to substance	Methamphetamine	PTGS2	0.7307644486427307
increases^response to substance	Lipopolysaccharides	BCL2	0.730763852596283
increases^response to substance	diisononyl phthalate	RELA	0.7307473421096802
increases^glucuronidation	Asbestos	ACTA2	0.7307126522064209$$$
increases^glucuronidation	glyphosate	TP53	0.7307109236717224
increases^response to substance	Cisplatin	RELA	0.7306964993476868
affects^methylation	Diethylnitrosamine	ICAM1	0.730695903301239
decreases^secretion	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	LEP	0.7306914925575256
increases^response to substance	Indomethacin	CASP8	0.7306912541389465
increases^response to substance	Mustard Gas	PTGS2	0.73067307472229
decreases^secretion	Estradiol	MMP7	0.730660617351532
increases^glucuronidation	glyphosate	MMP9	0.7306445240974426
affects^methylation	11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid	JUN	0.730638861656189
increases^response to substance	fatostatin	PARP1	0.7306214570999146
increases^response to substance	Fluorouracil	BAX	0.7306085824966431
decreases^secretion	Acetylcholine	IL1B	0.7305961847305298
increases^response to substance	Dexamethasone	CASP8	0.7305871844291687
increases^response to substance	epigallocatechin gallate	BAX	0.7305706739425659
increases^expression	terephthalic acid	PCNA	0.7305207848548889
increases^response to substance	epigallocatechin gallate	TP53	0.7304825782775879
increases^expression	1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	ICAM1	0.7304716110229492
decreases^response to substance	SB 203580	IL1B	0.730437695980072
increases^response to substance	hydroquinone	PARP1	0.7304198741912842
increases^response to substance	Silybin	BIRC5	0.7304127812385559
increases^expression	3-adenin-9-yl-2-hydroxypropanoic acid isobutyl ester	MYC	0.7304033637046814
decreases^secretion	Copper	IL1B	0.7304001450538635
increases^expression	carbonyl sulfide	S100A9	0.7303595542907715
increases^glucuronidation	2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline	RELA	0.7303489446640015$$$
increases^expression	aroclor 1260	ICAM1	0.7303465604782104
increases^response to substance	Blood Glucose	RELA	0.7303075194358826
increases^response to substance	Tetrachlorodibenzodioxin	PTGS2	0.730285108089447
increases^expression	terbufos	JUN	0.7302828431129456
increases^expression	methanandamide	ICAM1	0.7302637696266174
increases^glucuronidation	Retinoids	CASP8	0.7302594780921936
increases^response to substance	Doxorubicin	TP53	0.7302466630935669
increases^expression	lipopolysaccharide, E. coli O26-B6	ICAM1	0.7302228808403015
increases^expression	Ibuprofen	IL1RN	0.7302138209342957
decreases^secretion	Propranolol	LEP	0.7302130460739136
decreases^secretion	Apigenin	IL1B	0.7301915287971497
increases^glucuronidation	Leukotriene D4	CDKN1A	0.7301866412162781
increases^glucuronidation	taiwanin C	BAX	0.7301799654960632
increases^glucuronidation	Chlorogenic Acid	VEGFA	0.7301768660545349
increases^response to substance	Dinoprostone	PARP1	0.7301758527755737
increases^glucuronidation	ethylbenzene	PTGS2	0.7301697731018066
increases^response to substance	Dinoprostone	MMP9	0.7301475405693054
increases^glucuronidation	3,4-dichloroaniline	PTGS2	0.7301473617553711
increases^glucuronidation	Calcium	RELA	0.7301189303398132
increases^expression	nivalenol	NOS2	0.7301185131072998
increases^expression	rebamipide	ICAM1	0.7301172018051147
increases^expression	oxodiperoxo(pyridine-2-carboxylate)vanadate(V)	NOS2	0.7301167845726013
increases^glucuronidation	potassium chromate(VI)	BCL2	0.7301151156425476
increases^glucuronidation	3,4-dichloroaniline	RELA	0.7301121950149536
affects^methylation	Oxygen	CCND2	0.7301086187362671
increases^glucuronidation	tebuconazole	RELA	0.7300994992256165
increases^glucuronidation	salvianolic acid B	PTGS2	0.7300931811332703
increases^expression	Prazosin	NOS2	0.7300909161567688
decreases^secretion	cypermethrin	PTGS2	0.7300906777381897
affects^methylation	Smoke	CDH1	0.7300804257392883
increases^response to substance	Lithium Chloride	PTGS2	0.7300659418106079
increases^glucuronidation	Leukotriene D4	VEGFA	0.7300658226013184
increases^glucuronidation	Chlorogenic Acid	CTNNB1	0.7300306558609009
increases^expression	antimonite	MMP7	0.7300035357475281
increases^response to substance	Tamoxifen	SOD2	0.7299752235412598
increases^expression	chromic chloride	ICAM1	0.7299554944038391
increases^glucuronidation	2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline	HSPB1	0.7299514412879944
decreases^response to substance	acetovanillone	IL1B	0.7299364805221558
affects^methylation	Decitabine	TGFBR2	0.7299363017082214
increases^glucuronidation	Leukotriene D4	SOD2	0.7299214005470276
increases^glucuronidation	Retinoids	DNMT1	0.7299193143844604
increases^glucuronidation	salvianolic acid B	CASP8	0.7299138307571411
increases^glucuronidation	cryptolepine	PTGS2	0.7299084067344666
affects^methylation	Decitabine	PCNA	0.729903519153595
increases^glucuronidation	cryptolepine	CDKN1A	0.7298866510391235
increases^expression	Halothane	IL1B	0.7298823595046997
increases^response to substance	Dinoprostone	APC	0.7298591136932373
increases^expression	Glafenine	S100A9	0.7298566102981567
increases^expression	oxidized-L-alpha-1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphorylcholine	NOS2	0.7298559546470642
increases^glucuronidation	3,4-dichloroaniline	SOD2	0.7298485040664673
increases^expression	MK-8825	IL1B	0.7298470735549927
increases^glucuronidation	3-caffeoyl-4-dihydrocaffeoylquinic acid	PARP1	0.7298459410667419
increases^response to substance	Cytarabine	TP53	0.7298347353935242
increases^glucuronidation	Leukotriene D4	ACTA2	0.7298240661621094
affects^response to substance	Adenosine Diphosphate	NOS2	0.7298174500465393
increases^glucuronidation	S-(1,1,2,2-tetrafluoroethyl)cysteine	PTGS2	0.7298117876052856
decreases^secretion	Erlotinib Hydrochloride	IL1RN	0.7298098206520081
decreases^secretion	SGA 360	BAX	0.7298012971878052
increases^glucuronidation	MRS 1845	TP53	0.7297896146774292
increases^expression	17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid	ICAM1	0.7297627329826355
increases^response to substance	3-aminobenzamide	TP53	0.7297612428665161
increases^glucuronidation	pitavastatin	PTGS2	0.7297595739364624
increases^glucuronidation	aurapten	CTNNB1	0.7297449111938477
increases^response to substance	candesartan	LEP	0.7297433018684387
increases^glucuronidation	titanium nitride	PARP1	0.7297342419624329
increases^glucuronidation	eicosapentaenoic acid ethyl ester	BAX	0.729732871055603
increases^glucuronidation	BMS-764459	BAX	0.729732096195221
increases^expression	azaspiracid	MYC	0.7297278046607971
increases^glucuronidation	SB 3CT compound	BAX	0.7297253608703613
increases^glucuronidation	cardanol	SOD2	0.7297163009643555
decreases^secretion	Homocysteine	VEGFA	0.729705274105072
increases^glucuronidation	CC-8490	VEGFA	0.7297006249427795
decreases^secretion	Aziridines	PTGS2	0.7296912670135498
increases^expression	Disulfiram	IL1B	0.729674756526947
increases^glucuronidation	glutapyrone	PTGS2	0.72967129945755
increases^glucuronidation	CC-8490	PARP1	0.7296625375747681
decreases^secretion	Resveratrol	MMP9	0.7296597957611084
