increases^ADP-ribosylation	aroclor 1242	DPP4	0.7279474932937622	
increases^methylation	Ethyl Methanesulfonate	TMPRSS2	0.7279474932937622
affects^expression	Carbamates	TIPARP	0.7279474932937622	
affects^reaction	2-aminopyrimidine	TIPARP	0.727947494043293	
increases^glucuronidation	RS194B	DPP4	0.7279462218284607
increases^glucuronidation	copper-thiosemicarbazone complex	DPP4	0.7279444932937622
increases^glucuronidation	8-(dicyclopropylmethyl)-1,3-dipropylxanthine	TIPARP	0.7279407978057861
increases^glucuronidation	Anthracyclines	DPP4	0.7279404997825623
increases^glucuronidation	Lipopolysaccharides	DPP4	0.7279404997825623
increases^glucuronidation	7-hydroxycoumarin	DPP4	0.7279400825500488
decreases^secretion	1,6-bis(cyclohexyloximinocarbonyl)hexane	TIPARP	0.7279335260391235
increases^glucuronidation	Zineb	DPP4	0.7279309630393982
increases^glucuronidation	RS194B	TMPRSS4	0.7279286980628967
increases^glucuronidation	thyroxine glucuronide	TMPRSS4	0.7279286980628967
increases^glucuronidation	guanylin	DPP4	0.7279255390167236
increases^glucuronidation	naltrindole benzofuran	DPP4	0.7279250025749207
increases^glucuronidation	desoxypeganine 1	DPP4	0.7279250025749207
increases^glucuronidation	Monomethylhydrazine	DPP4	0.7279250025749207
increases^glucuronidation	Cetylpyridinium	DPP4	0.7279250025749207
increases^glucuronidation	Hydrocodone	DPP4	0.72792504932937622
increases^glucuronidation	Chromium Alloys	DPP4	0.7279250025749207
increases^glucuronidation	Folfox protocol	DPP4	0.7279250025749207
increases^glucuronidation	aluminum oxide hydroxide	DPP4	0.7279250025749207
increases^glucuronidation	Dichlorophen	DPP4	0.727924644947052
increases^glucuronidation	genistin	DPP4	0.727924644947052
increases^glucuronidation	deltorphin II, Ala(2)-	DPP4	0.7279242873191833
increases^glucuronidation	Diatrizoate	DPP4	0.7279242873191833
decreases^secretion	bilobalide	TMPRSS4	0.7279238700866699
decreases^secretion	rhodocytin protein, Calloselasma rhodostoma	TMPRSS4	0.727923572063446
decreases^secretion	CP 94253	TMPRSS4	0.727923572063446
decreases^secretion	4-hydroxypropranolol	TMPRSS4	0.7279221415519714
increases^glucuronidation	Dichlorophen	TIPARP	0.7279209494590759
increases^glucuronidation	genistin	TIPARP	0.7279209494590759
increases^glucuronidation	peroxovanadate	DPP4	0.7279208302497864
increases^glucuronidation	deltorphin II, Ala(2)-	TIPARP	0.7279204726219177
increases^glucuronidation	Diatrizoate	TIPARP	0.7279204726219177
increases^glucuronidation	9-hydroxy-10,12-octadecadienoic acid	DPP4	0.7279201149940491
decreases^secretion	Diiodothyronines	TIPARP	0.7279192805290222
increases^glucuronidation	4-aminophenylarsenoxide	TMPRSS4	0.7279173135757446
increases^glucuronidation	PD 117302	TIPARP	0.727915346622467
increases^glucuronidation	N-(6-(6-chloro-5-(4-fluorophenylsulfonamido)pyridin-3-yl)benzo(d)thiazol-2-yl)acetamide	TIPARP	0.727915346622467
decreases^secretion	acetyl phosphate	TMPRSS4	0.7279132008552551
decreases^secretion	2,6-di-tert-butyl-4-methylene-2,5-cyclohexadienone	TMPRSS4	0.7279117703437805
decreases^secretion	JTE 607	TMPRSS4	0.7279117703437805
decreases^secretion	isobavachin	TMPRSS4	0.7279108762741089
decreases^secretion	6 beta-hydroxycortisol	TMPRSS4	0.7279108762741089
decreases^secretion	aspartyl-glutamyl-valyl-aspartyl-7-amino-4-trifluoromethylcoumarin	TMPRSS4	0.7279108762741089
decreases^secretion	adiphenine	TMPRSS4	0.7279108762741089
decreases^secretion	bombesin, Tyr(4)-	TMPRSS4	0.7279108762741089
decreases^secretion	Pimelic Acids	TMPRSS4	0.7279108762741089
decreases^secretion	sodium persulfate	TIPARP	0.727910578250885
decreases^secretion	sibutramine	TIPARP	0.7279102206230164
increases^glucuronidation	C-Peptide	DPP4	0.7279093265533447
decreases^secretion	2-(2,3-dicarboxycyclopropyl)glycine	TMPRSS4	0.727908730506897
increases^glucuronidation	Sildenafil Citrate	TMPRSS4	0.7279079556465149
increases^glucuronidation	guanylin	TMPRSS4	0.7279079556465149
increases^glucuronidation	APEKTx1 peptide, Anthopleura elegantissima	TMPRSS4	0.7279079556465149
