10074-G5	CID02836600
10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone	CID00656732
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	CID00083852
10,11-dihydro-10-hydroxycarbamazepine	CID00114709
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	CID00070029
10-(2-(5H-(1,2,4)triazino(5,6-b)indol-3-ylthio)butanoyl)-10H-phenothiazine	SID223258877
10-(2-pyrazolylethoxy)camptothecin	SID160644548
103D5R	CID11267663
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine	SID319891292
10-(6'-ubiquinonyl)decyltriphenylphosphonium bromide	SID134224101
10-(alpha-diethylaminopropionyl)phenothiazine	CID00083045
10-deacetylpaclitaxel	CID00155831
10-decarbamoylmitomycin C	CID10424358
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide	SID53787466
10-formyltetrahydropteroylglutamic acid	CID135450591
10-hydroxycamptothecin	CID00097226
10-hydroxynortriptyline	CID06420504
10-hydroxywarfarin	CID54692492
10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one	SID135653609
10-methoxy-5-(2-propenyl)-2,5-dihydro-2,2,4-trimethyl-1H-(1)benzopyrano(3,4-f)quinoline	SID144221130
10-nitro-oleic acid	CID24836820
10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate	SID313389813
10-propargyl-10-deazaaminopterin	CID00148121
10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone	CID11724959
1,10-phenanthroline	CID00001318
11,11'-dideoxyverticilin	SID53787149
11,12,15-trihydroxyeicosatrienoic acid	CID06439610
11,12-dihydroxyeicosatrienoic acid	CID05283146
11,12-epoxy-5,8,14-eicosatrienoic acid	CID05353269
1,1,1,2-tetrafluoro-2-chloroethane	CID00017822
11,14,15-trihydroxyeicosa-5,8,12-trienoic acid	CID06439531
11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid	SID125317232
11,17-dihydroxy-6-methyl-17-(1-propynyl)androsta-1,4,6-triene-3-one	CID00123790
111In-DOTA-TOC	SID134223067
1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane	CID00183679
1,1,1-trichloroethane	CID00006278
1,1,2,2-tetrabromoethane	CID00006588
1,12-benzoperylene	CID00009117
1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one	SID134224893
11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene	SID210024086
1,1,2-trichloroethane	CID00006574
1-(1,3-carboxypropyl)-4,7-carboxymethyl-1,4,7-triazacyclononane	SID250230383
1-(1-(4-fluorophenyl)ethyl)-3-((3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)methylene)-2-piperidinone	SID172125920
1,1,4-tris(acetyloxy)-2-nonene	SID176223167
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea	SID381190086
1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane	SID242083771
1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane	CID02940609
1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane	SID53789020
1,1-bis(3'-indolyl)-1-(p-anisyl)methane	SID242083773
1,1-bis(4-hydroxyphenyl)-2-phenylbut-1-ene	CID00063059
1,1-bis(4-hydroxyphenyl)cyclohexane	CID00232446
11-(dansylamino)undecanoic acid	CID00122016
11-dehydrocorticosterone	CID05311364
11-dehydro-thromboxane B2	CID05280891
11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1	CID05311223
11-deoxyprostaglandin E1	CID05283055
1,1-dichloro-1-fluoroethane	CID00015586
1,1-dichloro-2,2-difluoroethylene	CID00006592
1,1-dichloroethane	CID00006365
1,1-diethyl-2-hydroxy-2-nitrosohydrazine	CID06331148
1-(1-dimethylaminomethyl-5-methoxybenzocyclobutan-1-yl)cyclohexanol	SID57309573
1,1-dimethylbutyl-1-deoxy-Delta(9)-THC	CID06918505
1,1-diphenyl-2-picrylhydrazyl	CID00074358
1,1-diphenylhydrazine	CID00010739
1,1-ethanediol	CID00151211
11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol	SID136368378
11-hexadecenal	CID05283376
1-(1H-indol-3-yl)-3-(3H-indol-3-ylidene)propan-2-one	SID136368275
1-(1H-indol-3-yl)-9H-pyrido(3,4-b)indole	SID135653772
11-hydroxy-5,8,12,14-eicosatetraenoic acid	CID05353268
11-hydroxyandrostenedione	CID00108106
11-hydroxy-delta(9)-tetrahydrocannabinol	CID00644022
11-hydroxytestosterone	CID00114920
11-keto-boswellic acid	CID23675050
11-ketotestosterone	CID05282365
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea	SID144221141
11-methylbenzanthracene	CID00022488
1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine	SID134224823
11-Mrp-14-Nal-18-Cys-22-Asp-beta-MSH(11-22)NH2	SID134223598
1-(1-naphthyl)piperazine	CID00001342
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid	CID00107885
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol	SID92729780
11-oxo-delta(8)-tetrahydrocannabinol	CID00124158
11-oxoeicosatetraenoic acid	SID135727587
1-(1-propynyl)pyrene	CID54377632
1-(2-((1-(4-amino-3-chlorophenyl)methanoyl)amino)-3,3-dimethylbutanoyl)pyrrolidine-2-carboxylic acid	CID11398092
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	CID10158562
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine	SID134223269
1-(2-(2-(3,4-dichlorophenyl)-4-(3,4,5-trimethoxybenzoyl)morpholin-2-yl)ethyl)spiro(benzo(c)thiophene-1(3H),4'-piperidine)-2-oxide	SID136368235
(1-(2,2-diphenyl-(1,3)dioxolan-4-yl)-ethyl)-dimethyl-amine	SID124360307
1-(2-(2-thienyl)-2-adamantyl) morpholine	SID375590853
1,2,3,4,4a,5,10,10a-octahydro-6-methoxy-1-methylbenz(g)quinoline-3-carboxylic acid 4-(4-nitrophenyl)piperazine amide	SID134222382
1,2,3,4,5,6-hexabromocyclohexane	CID00074603
1,2,3,4,6,7,8-heptachlorodibenzodioxin	CID00037270
1,2,3,4,6,7,8-heptachlorodibenzofuran	CID00038199
1,2,3,4,6,7-hexachlorinated naphthalene	SID161004351
1,2,3,4,7,8-hexachlorodibenzodioxin	CID00038251
1,2,3,4,7,8-hexachlorodibenzofuran	CID00051130
1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole	SID134224525
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	CID00574780
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole	CID00104956
1,2,3,4-tetrachlorodibenzodioxin	CID00035454
1,2,3,4-tetrahydro-1-(phenylmethyl)isoquinoline	CID00098468
1,2,3,4-tetrahydroisoquinoline	CID00007046
1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid	CID00095489
1,2,3,5,6,7-hexachloronaphthalene	CID00107693
1,2,3,5-tetrachlorobenzene	CID00012468
1,2,3,6,7,8-hexachlorodibenzodioxin	CID00042540
1,2,3,7,8-pentachlorodibenzofuran	CID00042138
1,2,3,7,8-pentachlorodibenzo-p-dioxin	CID00038439
12-(3-adamantan-1-ylureido)dodecanoic acid	CID10069117
1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole	SID134223237
1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine	CID09887537
1-(2,3-dihydrobenzo(b)(1,4)dioxin-6-yl)-4-((6-fluoropyridin-3-yl)methyl)piperazine	SID196409603
1-(2-(3-methoxyphenyl)ethyl)phenoxy-3-(dimethylamino)-2-propanol	CID53446664
1,2,3-trichloropropane	CID00007285
1,24,25-trihydroxyvitamin D3	CID09910685
1,2,4,5-benzenetetraamine	CID00078261
1,2,4,5-tetrabromobenzene	CID00012486
1,2,4,5-tetrachlorobenzene	CID00007270
1-(2,4-dichlorobenzyl)indazole-3-carbohydrazide	SID402381596
1,24-dihydroxyvitamin D2	CID71300399
1,2,4-triazole	CID00009257
1,2,4-triazolo(1,5-c)pyrimidine	SID134223274
1,2,4-trichlorobenzene	CID00000013
1,2,4-trimethylcyclohexane	CID00091517
1,2,5,6-dibenzanthracene	CID00005889
1,2,5,6-tetrabromocyclooctane	CID00296646
(1,2,5,6-tetrahydropyridin-4-yl)methylphosphinic acid	CID00005521
1,2,5,8-tetrahydroxy anthraquinone	CID00005004
1,25-dihydroxy-16-ene-vitamin D3	CID06439178
1,25-dihydroxy-19-norvitamin D3	CID09547326
1,25-dihydroxy-26,27-dimethylcholecalciferol	CID09547527
1,25-dihydroxyergocalciferol	CID09547243
1,25-dihydroxyvitamin D	CID05280453
1,25(OH)2-16-ene-23-yne-26,27-hexafluoro-19-nor-D3	SID53787473
1-(2,6-dimethylphenoxy)-2-(3,4-dimethoxyphenylethylamino)propane	CID00163906
1,2,7,8-tetrachlorodibenzofuran	CID00042844
1,2,7,8-tetrachlorodibenzo-p-dioxin	CID00036934
12-acetoxyhawtriwaic acid lactone	SID336944043
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile	SID134222076
1,2-benzisothiazol-3(2H)-one, 2-(4-(4-(7-chloro-2,3-dihydro-1,4-benzodioxin-5-yl)-1-piperazinyl)butyl)-, 1,1-dioxide	CID09848499
1,2-benzisothiazoline-3-one	CID00017520
(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane	SID53787773
1,2-bis(2,4,6-tribromophenoxy)ethane	CID00037840
1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid	CID00104751
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	CID03034747
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate)	SID99381447
1,2-bis(methylsulfonyl)-1-(2-chloroethyl)hydrazine	CID10198873
1,2-bis-N-cytisinylethane	SID135727768
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	SID354742388
1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one	SID137275722
1-(2-chloroethyl)-1-nitrosourea	CID00075394
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	SID87350379
1,2-cyclohexanediamine	CID00004610
12-dehydrogingerdione	SID188376261
12-deoxyphorbolphenylacetate-20-acetate	CID03034821
1,2-diacetylbenzene	CID00035459
1,2-diacylglycerol	CID00066021
1,2-diamino-4-nitrobenzene	CID05111791
1,2-diaminobenzene	CID00007243
1,2-dibromo-2,4-dicyanobutane	CID00061948
1,2-dibromo-3-chloropropane	CID00007280
1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane	CID00018728
1,2-dichloro-4-nitrobenzene	CID00007443
1,2-dichloroethylene	CID00010900
1,2-didecanoylglycerol	CID00001321
1,2-dielaidoylphosphatidylethanolamine	CID06437083
1,2-diethyl-3-hydroxypyridin-4-one	CID00086322
1,2-dihydro-1,2-dihydroxy-5-methylchrysene	CID00049838
1',2'-dihydrorotenone	CID00243725
1,2-dihydrostilbene	CID00007647
1,2-dihydroxy-1,2-dihydronaphthalene	CID00000362
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	CID00009001
1,2-dihydroxynaphthalene	CID00011318
1,2-dilauroylphosphatidylcholine	CID00445355
1,2-dilinolenoyl-3-(4-aminobutyryl)propane-1,2,3-triol	CID06438565
1,2-dimethyl-4-nitrobenzene	CID00007440
1,2-Dimethylhydrazine	CID00001322
1,2-dimethylnaphthalene	CID00011317
1,2-dioctanoylglycerol	CID00001323
1,2-dioleoyloxy-3-(trimethylammonium)propane	CID06437371
1,2-dioleoyl-sn-glycero-3-phosphoglycerol	CID00119120
1,2-Dipalmitoylphosphatidylcholine	CID00006138
1,2-dipalmitoylphosphatidylglycerol	CID00065144
1,2-diphenoxyethane	CID00007713
1,2-diphenylhydrazine	CID00031222
1-(2-(diphenylmethoxy)ethyl)-4-(3-phenyl-2-propenyl)piperazine	CID05788723
1-(2 (diphenylmethoxy)ethyl)-4-(3-phenylpropyl)piperazine	CID00003456
1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)	SID321941740
1,2-dithiol-3-thione	CID00068296
1,2-epoxy-3,4-dihydroxy-1,2,3,4-tetrahydrobenzo(c)phenanthrene	CID00108184
1,2-epoxy-3-(p-nitrophenoxy)propane	CID00021327
1,2-epoxy-4-vinylcyclohexane	CID00007832
1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide	SID196409697
